trial,frequency,p_t,hit_rate,false_alarm_rate,status
0,5,50,95.58823529411765,0.8547008547008548,Success
0,5,60,91.17647058823529,0.5698005698005698,Success
0,5,70,89.70588235294117,0.2849002849002849,Success
0,5,80,89.70588235294117,0.2849002849002849,Success
0,5,85,89.70588235294117,0.2849002849002849,Success
0,5,90,89.70588235294117,0.2849002849002849,Success
0,5,95,85.29411764705883,0.0,Success
0,5,99,82.35294117647058,0.0,Success
1,5,50,95.58823529411765,0.0,Success
1,5,60,92.64705882352942,0.0,Success
1,5,70,89.70588235294117,0.0,Success
1,5,80,88.23529411764706,0.0,Success
1,5,85,86.76470588235294,0.0,Success
1,5,90,86.76470588235294,0.0,Success
1,5,95,82.35294117647058,0.0,Success
1,5,99,82.35294117647058,0.0,Success
2,5,50,97.05882352941177,0.0,Success
2,5,60,94.11764705882352,0.0,Success
2,5,70,91.17647058823529,0.0,Success
2,5,80,89.70588235294117,0.0,Success
2,5,85,88.23529411764706,0.0,Success
2,5,90,88.23529411764706,0.0,Success
2,5,95,85.29411764705883,0.0,Success
2,5,99,79.41176470588235,0.0,Success
3,5,50,98.52941176470588,0.2849002849002849,Success
3,5,60,95.58823529411765,0.0,Success
3,5,70,94.11764705882352,0.0,Success
3,5,80,92.64705882352942,0.0,Success
3,5,85,91.17647058823529,0.0,Success
3,5,90,88.23529411764706,0.0,Success
3,5,95,85.29411764705883,0.0,Success
3,5,99,80.88235294117648,0.0,Success
4,5,50,98.52941176470588,0.2849002849002849,Success
4,5,60,91.17647058823529,0.2849002849002849,Success
4,5,70,89.70588235294117,0.0,Success
4,5,80,88.23529411764706,0.0,Success
4,5,85,88.23529411764706,0.0,Success
4,5,90,85.29411764705883,0.0,Success
4,5,95,80.88235294117648,0.0,Success
4,5,99,77.94117647058823,0.0,Success
