trial,frequency,p_t,hit_rate,false_alarm_rate,status
0,10,50,98.52941176470588,0.2849002849002849,Success
0,10,60,94.11764705882352,0.0,Success
0,10,70,92.64705882352942,0.0,Success
0,10,80,91.17647058823529,0.0,Success
0,10,85,91.17647058823529,0.0,Success
0,10,90,91.17647058823529,0.0,Success
0,10,95,88.23529411764706,0.0,Success
0,10,99,85.29411764705883,0.0,Success
1,10,50,97.05882352941177,0.8547008547008548,Success
1,10,60,92.64705882352942,0.2849002849002849,Success
1,10,70,92.64705882352942,0.0,Success
1,10,80,89.70588235294117,0.0,Success
1,10,85,89.70588235294117,0.0,Success
1,10,90,89.70588235294117,0.0,Success
1,10,95,88.23529411764706,0.0,Success
1,10,99,88.23529411764706,0.0,Success
2,10,50,97.05882352941177,0.0,Success
2,10,60,89.70588235294117,0.0,Success
2,10,70,88.23529411764706,0.0,Success
2,10,80,88.23529411764706,0.0,Success
2,10,85,88.23529411764706,0.0,Success
2,10,90,86.76470588235294,0.0,Success
2,10,95,83.82352941176471,0.0,Success
2,10,99,83.82352941176471,0.0,Success
3,10,50,95.58823529411765,0.0,Success
3,10,60,94.11764705882352,0.0,Success
3,10,70,92.64705882352942,0.0,Success
3,10,80,92.64705882352942,0.0,Success
3,10,85,88.23529411764706,0.0,Success
3,10,90,88.23529411764706,0.0,Success
3,10,95,83.82352941176471,0.0,Success
3,10,99,83.82352941176471,0.0,Success
4,10,50,100.0,0.2849002849002849,Success
4,10,60,94.11764705882352,0.0,Success
4,10,70,91.17647058823529,0.0,Success
4,10,80,91.17647058823529,0.0,Success
4,10,85,89.70588235294117,0.0,Success
4,10,90,88.23529411764706,0.0,Success
4,10,95,85.29411764705883,0.0,Success
4,10,99,85.29411764705883,0.0,Success
