trial,frequency,p_t,hit_rate,false_alarm_rate,status
0,15,50,95.58823529411765,0.5698005698005698,Success
0,15,60,94.11764705882352,0.2849002849002849,Success
0,15,70,91.17647058823529,0.0,Success
0,15,80,89.70588235294117,0.0,Success
0,15,85,89.70588235294117,0.0,Success
0,15,90,88.23529411764706,0.0,Success
0,15,95,88.23529411764706,0.0,Success
0,15,99,86.76470588235294,0.0,Success
1,15,50,100.0,0.2849002849002849,Success
1,15,60,95.58823529411765,0.0,Success
1,15,70,94.11764705882352,0.0,Success
1,15,80,94.11764705882352,0.0,Success
1,15,85,89.70588235294117,0.0,Success
1,15,90,88.23529411764706,0.0,Success
1,15,95,88.23529411764706,0.0,Success
1,15,99,86.76470588235294,0.0,Success
2,15,50,100.0,0.0,Success
2,15,60,95.58823529411765,0.0,Success
2,15,70,92.64705882352942,0.0,Success
2,15,80,92.64705882352942,0.0,Success
2,15,85,92.64705882352942,0.0,Success
2,15,90,91.17647058823529,0.0,Success
2,15,95,88.23529411764706,0.0,Success
2,15,99,85.29411764705883,0.0,Success
3,15,50,98.52941176470588,0.2849002849002849,Success
3,15,60,91.17647058823529,0.0,Success
3,15,70,91.17647058823529,0.0,Success
3,15,80,89.70588235294117,0.0,Success
3,15,85,89.70588235294117,0.0,Success
3,15,90,88.23529411764706,0.0,Success
3,15,95,86.76470588235294,0.0,Success
3,15,99,86.76470588235294,0.0,Success
4,15,50,100.0,0.2849002849002849,Success
4,15,60,94.11764705882352,0.0,Success
4,15,70,92.64705882352942,0.0,Success
4,15,80,91.17647058823529,0.0,Success
4,15,85,89.70588235294117,0.0,Success
4,15,90,89.70588235294117,0.0,Success
4,15,95,88.23529411764706,0.0,Success
4,15,99,88.23529411764706,0.0,Success
