trial,frequency,p_t,hit_rate,false_alarm_rate,status
0,1,50,95.58823529411765,0.2849002849002849,Success
0,1,60,89.70588235294117,0.0,Success
0,1,70,88.23529411764706,0.0,Success
0,1,80,86.76470588235294,0.0,Success
0,1,85,82.35294117647058,0.0,Success
0,1,90,80.88235294117648,0.0,Success
0,1,95,77.94117647058823,0.0,Success
0,1,99,73.52941176470588,0.0,Success
1,1,50,98.52941176470588,0.8547008547008548,Success
1,1,60,91.17647058823529,0.2849002849002849,Success
1,1,70,91.17647058823529,0.2849002849002849,Success
1,1,80,88.23529411764706,0.2849002849002849,Success
1,1,85,86.76470588235294,0.2849002849002849,Success
1,1,90,83.82352941176471,0.2849002849002849,Success
1,1,95,82.35294117647058,0.0,Success
1,1,99,80.88235294117648,0.0,Success
2,1,50,100.0,0.2849002849002849,Success
2,1,60,91.17647058823529,0.2849002849002849,Success
2,1,70,89.70588235294117,0.2849002849002849,Success
2,1,80,88.23529411764706,0.2849002849002849,Success
2,1,85,86.76470588235294,0.2849002849002849,Success
2,1,90,86.76470588235294,0.2849002849002849,Success
2,1,95,85.29411764705883,0.2849002849002849,Success
2,1,99,79.41176470588235,0.0,Success
3,1,50,94.11764705882352,0.0,Success
3,1,60,92.64705882352942,0.0,Success
3,1,70,88.23529411764706,0.0,Success
3,1,80,86.76470588235294,0.0,Success
3,1,85,85.29411764705883,0.0,Success
3,1,90,85.29411764705883,0.0,Success
3,1,95,82.35294117647058,0.0,Success
3,1,99,77.94117647058823,0.0,Success
4,1,50,97.05882352941177,0.2849002849002849,Success
4,1,60,92.64705882352942,0.2849002849002849,Success
4,1,70,92.64705882352942,0.2849002849002849,Success
4,1,80,89.70588235294117,0.2849002849002849,Success
4,1,85,89.70588235294117,0.0,Success
4,1,90,88.23529411764706,0.0,Success
4,1,95,83.82352941176471,0.0,Success
4,1,99,73.52941176470588,0.0,Success
