SoC(%),Voltage(V)
100.0,4.17113125
99.99475592942969,4.169725390625
99.98951079225927,4.16876015625
99.98426543216206,4.16808984375
99.97902000740375,4.167530078125
99.97377454815951,4.16708515625
99.9685290341073,4.166678515625
99.96328354284043,4.1662296875
99.9580380183193,4.165883984375
99.95279250303545,4.165504296875
99.94754698467251,4.16519453125
99.94230144845078,4.164858984375
99.93705595164154,4.16450078125
99.9318104117249,4.16426328125
99.92656487735064,4.164011328125
99.92131933435489,4.16373984375
99.9160737932066,4.1634546875
99.91082828161768,4.1631890625
99.90558273492704,4.163000390625
99.90033720178441,4.16273828125
99.89509165139883,4.1625140625
99.88984609608667,4.162175
99.8846005641757,4.161987890625
99.87935500024209,4.16180625
99.87410947325766,4.161558984375
99.86886394627325,4.16139140625
99.86361842544702,4.161089453125
99.8583729200163,4.1609171875
99.85312735854596,4.16075
99.84788182540333,4.160476171875
99.84263627871267,4.16029921875
99.83739073694858,4.160077734375
99.83214521612234,4.15988671875
99.82689964910962,4.15971328125
99.82165409872405,4.159493359375
99.81640852678478,4.15935703125
99.81116293945,4.1591
99.80591740199665,4.158909375
99.80067183252065,4.158761328125
99.79542628829327,4.15857265625
99.79018074837663,4.158376171875
99.78493518197972,4.1582125
99.77968966608006,4.157976953125
99.77444410337809,4.157857421875
99.76919853513373,4.157646484375
99.76395297366338,4.15750546875
99.75870737339639,4.15727109375
99.75346179345146,4.15708984375
99.74821621350652,4.156959375
99.74297062062936,4.156741015625
99.7377250554641,4.156580859375
99.73247946012368,4.15639921875
99.72723387648382,4.15620625
99.72198831624513,4.1560578125
99.71674271105158,4.15591875
99.71149713233828,4.15575390625
99.7062515450035,4.155565234375
99.70100592934101,4.155405859375
99.6957603654074,4.1551953125
99.69051478546245,4.155059765625
99.6852691710316,4.1549
99.68002360709798,4.154681640625
99.67477801853158,4.154577734375
99.6695324096431,4.154392578125
99.66428683092981,4.154232421875
99.65904122450462,4.15410390625
99.65379561807943,4.153862109375
99.64855006276728,4.153730078125
99.64330448282234,4.15357734375
99.63805888132372,4.153455859375
99.63281332108502,4.153249609375
99.62756773251861,4.153105859375
99.62232211931938,4.1529828125
99.61707654984339,4.15275
99.61183096743517,4.152681640625
99.6065853671682,4.15246171875
99.60133978475997,4.1522984375
99.59609420481502,4.15218828125
99.59084859346329,4.15201328125
99.5856029931963,4.151837890625
99.58035743418922,4.151648828125
99.57511184562281,4.151509375
99.56986627368354,4.151312890625
99.56462072699289,4.151185546875
99.55937515074287,4.15107109375
99.55412954801258,4.15088671875
99.54888398654225,4.150729296875
99.54363839920748,4.15062578125
99.53839279894049,4.15044921875
99.53314723500687,4.1502734375
99.52790166306758,4.1501796875
